"CAMPAIGN_PERFORMANCE_REPORT (Jun 1, 2022-Jun 30, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners),All conv.
16185820307,Service (opt),6,1,17890000,2.00,2022-06-22,Computers,Search Network,Search partners: Other,USD,8945000,16.67%,17890000,200.00%,0.00,17890000,2981666667,Search partners,2.00
16185820307,Service (opt),1,1,22760000,1.00,2022-06-10,Computers,Search Network,Google search: Top,USD,22760000,100.00%,22760000,100.00%,0.00,22760000,22760000000,Google search,1.00
17448322031,Leads-Search-June 092022,244,9,26680000,1.00,2022-06-26,Mobile devices with full browsers,Search Network,Google search: Top,USD,26680000,3.69%,2964444,11.11%,0.00,2964444,109344262,Google search,1.00
16185820307,Service (opt),29,4,9810000,2.00,2022-06-13,Computers,Search Network,Google search: Other,USD,4905000,13.79%,2452500,50.00%,0.00,2452500,338275862,Google search,3.00
16185820307,Service (opt),6,0,0,4.00,2022-06-06,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,4.00,0,0,Google search,4.00
16171418061,Branding,2,1,480000,1.00,2022-06-06,Computers,Search Network,Google search: Top,USD,480000,50.00%,480000,100.00%,0.00,480000,240000000,Google search,1.00
17448322031,Leads-Search-June 092022,23,1,1810000,1.00,2022-06-23,Mobile devices with full browsers,Search Network,Google search: Other,USD,1810000,4.35%,1810000,100.00%,1.00,1810000,78695652,Google search,1.00
16185820307,Service (opt),10,1,3730000,1.00,2022-06-12,Computers,Search Network,Google search: Other,USD,3730000,10.00%,3730000,100.00%,0.00,3730000,373000000,Google search,1.00
17448322031,Leads-Search-June 092022,17,4,14420000,0.00,2022-06-25,Tablets with full browsers,Search Network,Google search: Top,USD,0,23.53%,3605000,0.00%,0.00,3605000,848235294,Google search,0.00
16185820307,Service (opt),2,0,0,0.00,2022-06-25,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
17448322031,Leads-Search-June 092022,162,5,36260000,0.00,2022-06-27,Mobile devices with full browsers,Search Network,Google search: Top,USD,0,3.09%,7252000,0.00%,0.00,7252000,223827160,Google search,0.00
16185820307,Service (opt),18,0,0,0.00,2022-06-22,Computers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16185820307,Service (opt),11,0,0,0.00,2022-06-13,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
16185820307,Service (opt),10,0,0,0.00,2022-06-12,Computers,Search Network,Search partners: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Search partners,0.00
16185820307,Service (opt),11,0,0,0.00,2022-06-30,Mobile devices with full browsers,Search Network,Google search: Other,USD,0,0.00%,0,0.00%,0.00,0,0,Google search,0.00
