"KEYWORDS_PERFORMANCE_REPORT (Apr 1, 2022-Apr 30, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
custom printed greaseproof paper,300821878467,1,0,0,0.00,0.00%,2022-04-01,0, --
food paper supply,375655997496,4,1,700000,1.00,25.00%,2022-04-01,0, --
take out cups,282983399,2,0,0,0.00,0.00%,2022-04-01,0, --
mug online,10647766,183,0,0,0.00,0.00%,2022-04-02,0, --
printed coffee cups,125669854,25,0,0,0.00,0.00%,2022-04-02,0, --
personalized tumblers,544432166,3,0,0,0.00,0.00%,2022-04-02,0, --
branded coffee cups,1213529396,1,0,0,0.00,0.00%,2022-04-02,0, --
insulated tote bags,296150627180,37,0,0,0.00,0.00%,2022-04-02,0, --
environmentally friendly food packaging,2013799299,1,0,0,0.00,0.00%,2022-04-02,0, --
a label printer,337153513096,8,0,0,0.00,0.00%,2022-04-02,0, --
take out boxes,127340930,4,1,730000,1.00,25.00%,2022-04-03,0, --
takeaway cake boxes,296819226690,3,0,0,0.00,0.00%,2022-04-03,0, --
label stickers for printing,296964536563,6,0,0,0.00,0.00%,2022-04-03,0, --
custom poly bags,28539052,7,1,1010000,1.00,14.29%,2022-04-03,0, --
personalized shot glasses,17884360,1,0,0,0.00,0.00%,2022-04-04,0, --
custom packaging plastic bags,447288118765,6,0,0,0.00,0.00%,2022-04-04,0, --
plastic t shirt bags,488011180472,5,0,0,0.00,0.00%,2022-04-04,0, --
takeaway food packaging,3310488424,1,0,0,0.00,0.00%,2022-04-04,0, --
box packaging wholesale,320363848474,2,0,0,0.00,0.00%,2022-04-04,0, --
take out cups,282983399,7,0,0,0.00,0.00%,2022-04-05,0, --
small plastic cup,305572345171,2,0,0,0.00,0.00%,2022-04-05,0, --
take out boxes,127340930,6,0,0,0.00,0.00%,2022-04-05,0, --
custom insulated lunch bags,298771665276,4,1,900000,1.00,25.00%,2022-04-05,0, --
