"AD_PERFORMANCE_REPORT (Jun 1, 2022-Jun 21, 2022)"
Ad,Headline 1,Headline 2,Expanded Text Ad Headline 3,Display URL,Description,Description line 1,Description line 2,Ad type,Ad ID,Impressions,Clicks,Cost,Conversions,Responsive Search Ad headlines,Responsive Search Ad descriptions,Responsive Search Ad path 1,Responsive Search Ad path 2,Expanded Text Ad Description 2,Expanded Dynamic Search Ad Description 2,Final URL,Path 1,Path 2,Long headline,Headlines (multi asset responsive display),Long headline (multi asset responsive display),Descriptions (multi asset responsive display),CTR,Day
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,6828,63,67050000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.92%,2022-06-06
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,2187,25,8130000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,1.14%,2022-06-01
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,4553,40,21670000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.88%,2022-06-02
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,4480,46,27880000,1.00, --, --, --, --, --, --, --, --, --, --, --, --, --,1.03%,2022-06-03
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,7212,64,54680000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.89%,2022-06-04
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,7172,49,35610000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.68%,2022-06-05
, --, --, --,, --,,,Shopping ad (goal-optimized),598224098633,286,1,960000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.35%,2022-06-07
Product listing ad; Promotion: , --, --, --,, --,,,Shopping ad,604903772763,2876,20,11220000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.70%,2022-06-21
Product listing ad; Promotion: , --, --, --,, --,,,Shopping ad,604903772763,726,10,10830000,0.00, --, --, --, --, --, --, --, --, --, --, --, --, --,1.38%,2022-06-20
Total, --, --, --, --, --, --, --, --, --,36320,318,238030000,1.00, --, --, --, --, --, --, --, --, --, --, --, --, --,0.88%, --
