"CAMPAIGN_PERFORMANCE_REPORT (May 1, 2022-May 31, 2022)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Shopping ad - Standard,120,1,110000,0.00,Campaign for 361628,removed,0.83%,2022-05-15
Shopping ad - Standard,1426,7,4260000,0.00,Campaign for 361628,removed,0.49%,2022-05-25
Shopping ad - Standard,4266,25,13930000,0.00,Campaign for 361628,removed,0.59%,2022-05-28
Shopping ad - Standard,2230,15,8410000,1.00,Campaign for 361628,removed,0.67%,2022-05-27
Shopping ad - Standard,2805,19,10200000,1.00,Campaign for 361628,removed,0.68%,2022-05-29
Shopping ad - Standard,2283,15,13210000,0.00,Campaign for 361628,removed,0.66%,2022-05-26
Shopping ad - Standard,2858,13,11480000,1.00,Campaign for 361628,removed,0.45%,2022-05-23
Shopping ad - Standard,1767,12,10930000,0.00,Campaign for 361628,removed,0.68%,2022-05-19
Shopping ad - Standard,2334,14,10170000,0.00,Campaign for 361628,removed,0.60%,2022-05-20
Shopping ad - Standard,1314,14,14950000,0.00,Campaign for 361628,removed,1.07%,2022-05-16
Shopping ad - Standard,1484,13,8310000,0.00,Campaign for 361628,removed,0.88%,2022-05-24
Shopping ad - Standard,2280,22,20150000,0.00,Campaign for 361628,removed,0.96%,2022-05-21
Shopping ad - Standard,1341,10,9140000,0.00,Campaign for 361628,removed,0.75%,2022-05-17
Shopping ad - Standard,1433,13,13260000,0.00,Campaign for 361628,removed,0.91%,2022-05-18
Shopping ad - Standard,3045,18,12680000,0.00,Campaign for 361628,removed,0.59%,2022-05-22
Shopping ad - Standard,1542,19,7260000,0.00,Campaign for 361628,removed,1.23%,2022-05-31
Shopping ad - Standard,1887,20,11650000,0.00,Campaign for 361628,removed,1.06%,2022-05-30
Total, --, --, --, --, --, --, --, --
