"KEYWORDS_PERFORMANCE_REPORT (Jul 1, 2022-Jul 3, 2022)"
Keyword,Keyword ID,Impressions,Clicks,Cost,Conversions,CTR,Day,First page CPC,First position CPC
marahau water taxi,386499196785,4,1,1160000,0.00,25.00%,2022-07-01,0, --
water taxi abel tasman,377564518967,4,2,900000,0.00,50.00%,2022-07-01,0, --
marahau water taxi,386499196785,5,3,2360000,0.00,60.00%,2022-07-03,0, --
abel tasman water taxi,333506473594,13,5,3710000,0.00,38.46%,2022-07-02,0, --
water taxi abel tasman,377564518967,15,6,6750000,1.00,40.00%,2022-07-02,0, --
water taxi marahau,301046955751,5,3,1730000,1.00,60.00%,2022-07-03,0, --
abel tasman national park,314857777618,20,0,0,0.00,0.00%,2022-07-01,0, --
water taxi marahau,301046955751,1,1,110000,0.00,100.00%,2022-07-01,0, --
abel tasman kayaking,341616168956,12,3,4360000,0.00,25.00%,2022-07-03,0, --
abel tasman water taxi,333506473594,5,1,560000,0.00,20.00%,2022-07-03,0, --
abel tasman sea shuttle,317706140559,1,0,0,0.00,0.00%,2022-07-03,0, --
water taxi abel tasman,377564518967,10,5,4260000,0.00,50.00%,2022-07-03,0, --
abel tasman sea shuttle,317706140559,1,0,0,0.00,0.00%,2022-07-01,0, --
water taxi marahau,301046955751,7,4,780000,0.00,57.14%,2022-07-02,0, --
abel tasman tours,377564517567,4,0,0,0.00,0.00%,2022-07-03,0, --
abel tasman kayaking,341616168956,3,0,0,0.00,0.00%,2022-07-01,0, --
abel tasman kayaking,341616168956,7,0,0,0.00,0.00%,2022-07-02,0, --
abel tasman sea shuttle,317706140559,2,0,0,0.00,0.00%,2022-07-02,0, --
abel tasman aqua taxi,377564516607,1,0,0,0.00,0.00%,2022-07-03,0, --
abel tasman water taxi,333506473594,5,3,950000,0.00,60.00%,2022-07-01,0, --
abel tasman aqua taxi,377564516607,3,2,760000,0.00,66.67%,2022-07-01,0, --
abel tasman national park,314857777618,18,1,250000,0.00,5.56%,2022-07-02,0, --
marahau water taxi,386499196785,2,2,220000,0.00,100.00%,2022-07-02,0, --
abel tasman activities,377564516527,2,0,0,0.00,0.00%,2022-07-03,0, --
abel tasman aqua taxi,377564516607,2,1,1110000,0.00,50.00%,2022-07-02,0, --
abel tasman national park,314857777618,20,2,360000,0.00,10.00%,2022-07-03,0, --
abel tasman tours,377564517567,3,0,0,0.00,0.00%,2022-07-01,0, --
abeltasman,782430711106,19,3,1590000,0.00,15.79%,2022-07-01,0, --
kayaking abel tasman,341616169156,3,2,2920000,0.00,66.67%,2022-07-01,0, --
abel tasman walk and kayak,465880439206,1,0,0,0.00,0.00%,2022-07-02,0, --
abeltasman,782430711106,27,5,3390000,0.00,18.52%,2022-07-03,0, --
abel tasman day trip,832549349011,1,0,0,0.00,0.00%,2022-07-03,0, --
sea shuttle abel tasman,568475957036,4,0,0,0.00,0.00%,2022-07-03,0, --
abel tasman walks,358899379814,9,1,980000,0.00,11.11%,2022-07-01,0, --
abel tasman day trip,832549349011,1,0,0,0.00,0.00%,2022-07-02,0, --
kayaking abel tasman,341616169156,3,0,0,0.00,0.00%,2022-07-02,0, --
abel tasman kayak tours,337670426290,3,0,0,0.00,0.00%,2022-07-03,0, --
marahau kayak,338700062810,1,1,640000,0.00,100.00%,2022-07-03,0, --
kayaking abel tasman,341616169156,3,0,0,0.00,0.00%,2022-07-03,0, --
abel tasman kayak tours,337670426290,1,0,0,0.00,0.00%,2022-07-02,0, --
sea shuttle abel tasman,568475957036,1,0,0,0.00,0.00%,2022-07-02,0, --
abel tasman day trip,832549349011,1,1,260000,0.00,100.00%,2022-07-01,0, --
aqua taxi abel tasman,377564518207,1,1,500000,0.00,100.00%,2022-07-03,0, --
abel tasman kayak tours,337670426290,1,0,0,0.00,0.00%,2022-07-01,0, --
aqua taxi abel tasman,377564518207,1,0,0,0.00,0.00%,2022-07-01,0, --
marahau kayak,338700062810,3,1,330000,0.00,33.33%,2022-07-02,0, --
aqua taxi abel tasman,377564518207,3,1,600000,0.00,33.33%,2022-07-02,0, --
abel tasman walks,358899379814,9,0,0,0.00,0.00%,2022-07-03,0, --
abel tasman walks,358899379814,1,0,0,0.00,0.00%,2022-07-02,0, --
abeltasman,782430711106,8,3,2460000,0.00,37.50%,2022-07-02,0, --
Total, --,280,64,44000000,2.00,22.86%, --, --, --
