"ADGROUP_PERFORMANCE_REPORT (Jun 1, 2022-Jun 28, 2022)"
Ad group ID,Ad group,Impressions,Clicks,Cost,Conversions,CTR,Currency,Day
138815638780,Ductless Ac Install,11,4,7090000,0.00,36.36%,USD,2022-06-25
141072629027,Ac Repair,16,0,0,0.00,0.00%,USD,2022-06-28
138640558472,Home Ac Repair,1,0,0,0.00,0.00%,USD,2022-06-28
143788813571,HVAC,4,0,0,0.00,0.00%,USD,2022-06-25
140845042249,Heating Ac Repair,8,1,2300000,0.00,12.50%,USD,2022-06-25
143788813571,HVAC,16,1,2510000,0.00,6.25%,USD,2022-06-28
141072629027,Ac Repair,30,1,1180000,0.00,3.33%,USD,2022-06-26
143788813571,HVAC,3,0,0,0.00,0.00%,USD,2022-06-26
137823936653,Split Ac Installation,4,0,0,0.00,0.00%,USD,2022-06-28
137823936653,Split Ac Installation,2,0,0,0.00,0.00%,USD,2022-06-26
138815638780,Ductless Ac Install,6,3,5980000,0.00,50.00%,USD,2022-06-28
138640558472,Home Ac Repair,2,0,0,0.00,0.00%,USD,2022-06-27
140845042249,Heating Ac Repair,15,0,0,0.00,0.00%,USD,2022-06-28
140939543751,Ac Installation,18,1,1640000,0.00,5.56%,USD,2022-06-25
137823936653,Split Ac Installation,22,1,1580000,0.00,4.55%,USD,2022-06-27
140938801671,Duct Cleaning,17,0,0,0.00,0.00%,USD,2022-06-27
138815638780,Ductless Ac Install,17,7,12740000,0.00,41.18%,USD,2022-06-27
140845042249,Heating Ac Repair,16,2,7010000,0.00,12.50%,USD,2022-06-26
140939543751,Ac Installation,8,0,0,0.00,0.00%,USD,2022-06-28
140939543751,Ac Installation,25,0,0,0.00,0.00%,USD,2022-06-27
141072629027,Ac Repair,9,0,0,0.00,0.00%,USD,2022-06-25
138815638780,Ductless Ac Install,17,3,7380000,0.00,17.65%,USD,2022-06-26
140938801671,Duct Cleaning,1,0,0,0.00,0.00%,USD,2022-06-26
140938801671,Duct Cleaning,8,0,0,0.00,0.00%,USD,2022-06-28
143788813571,HVAC,22,1,3820000,0.00,4.55%,USD,2022-06-27
140938801671,Duct Cleaning,2,0,0,0.00,0.00%,USD,2022-06-25
140939543751,Ac Installation,15,0,0,0.00,0.00%,USD,2022-06-26
141072629027,Ac Repair,43,1,2620000,0.00,2.33%,USD,2022-06-27
140845042249,Heating Ac Repair,29,0,0,0.00,0.00%,USD,2022-06-27
137823936653,Split Ac Installation,6,0,0,0.00,0.00%,USD,2022-06-25
Total, --,393,26,55850000,0.00,6.62%, --, --
