"CAMPAIGN_PERFORMANCE_REPORT (Jun 10, 2022-Jun 16, 2022)"
Campaign ID,Campaign,Impressions,Clicks,Cost,Conversions,Day,Device,Network,Top vs. Other,Currency,Cost / conv.,CTR,Avg. CPC,Conv. rate,Total conv. value,Avg. Cost,Avg. CPM,Network (with search partners)
17309457005,Smart Shopping 20220518,12226,56,35720000,0.00,2022-06-16,Mobile devices with full browsers,Cross-network,Cross-network,USD,0,0.46%,637857,0.00%,0.00,637857,2921642,Cross-network
17309457005,Smart Shopping 20220518,12698,209,57444404,0.00,2022-06-15,Mobile devices with full browsers,Cross-network,Cross-network,USD,0,1.65%,274854,0.00%,0.00,274854,4523894,Cross-network
17309457005,Smart Shopping 20220518,195,2,13100000,0.00,2022-06-15,Computers,Cross-network,Cross-network,USD,0,1.03%,6550000,0.00%,0.00,6550000,67179487,Cross-network
17493033338,Action Shields,255,1,570960,0.00,2022-06-16,Mobile devices with full browsers,Cross-network,Cross-network,USD,0,0.39%,570960,0.00%,0.00,57096,2239059,Cross-network
17309457005,Smart Shopping 20220518,3197,8,8560000,0.00,2022-06-16,Computers,Cross-network,Cross-network,USD,0,0.25%,1070000,0.00%,0.00,1070000,2677510,Cross-network
17309457005,Smart Shopping 20220518,270,0,0,0.00,2022-06-16,Tablets with full browsers,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17493033338,Action Shields,1,0,0,0.00,2022-06-16,Computers,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17493033338,Action Shields,4,0,0,0.00,2022-06-15,Mobile devices with full browsers,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17309457005,Smart Shopping 20220518,80,0,0,0.00,2022-06-15,Tablets with full browsers,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17309457005,Smart Shopping 20220518,86,1,6030000,0.00,2022-06-14,Tablets with full browsers,Cross-network,Cross-network,USD,0,1.16%,6030000,0.00%,0.00,6030000,70116279,Cross-network
17309457005,Smart Shopping 20220518,294,3,11130000,0.00,2022-06-14,Computers,Cross-network,Cross-network,USD,0,1.02%,3710000,0.00%,0.00,3710000,37857143,Cross-network
17309457005,Smart Shopping 20220518,1,0,0,0.00,2022-06-15,Devices streaming video content to TV screens,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17493033338,Action Shields,3,0,0,0.00,2022-06-16,Tablets with full browsers,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17309457005,Smart Shopping 20220518,1,0,0,0.00,2022-06-15,Other,Cross-network,Cross-network,USD,0,0.00%,0,0.00%,0.00,0,0,Cross-network
17309457005,Smart Shopping 20220518,3009,18,48750000,0.00,2022-06-14,Mobile devices with full browsers,Cross-network,Cross-network,USD,0,0.60%,2708333,0.00%,0.00,2708333,16201396,Cross-network
Total, --,32320,298,181305364,0.00, --, --, --, --, --,0,0.92%,608407,0.00%,0.00,590571,5609696, --
