"CAMPAIGN_PERFORMANCE_REPORT (Dec 1, 2021-Dec 31, 2021)"
Click type,Impressions,Clicks,Cost,Conversions,Campaign,Campaign state,CTR,Day
Headline,38,2,2650000,0.00,4x4Attitude,paused,5.26%,2021-12-10
Sitelink,1413,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-29
Phone calls,235,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-24
Phone calls,165,1,430000,0.00,4x4Attitude,paused,0.61%,2021-12-21
Promotion Extension,1264,1,650000,0.00,4x4Attitude,paused,0.08%,2021-12-19
Phone calls,46,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-16
Promotion Extension,21,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-10
Promotion Extension,781,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-30
Sitelink,120,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-15
Headline,7541,22,17295934,0.00,4x4Attitude - Jeep Sunshade,paused,0.29%,2021-12-22
Headline,214,23,51750000,0.00,4x4Attitude,paused,10.75%,2021-12-09
Phone calls,233,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-26
Promotion Extension,1184,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-25
Headline,1932,33,17360000,0.00,4x4Attitude,paused,1.71%,2021-12-29
Headline,187,10,7750000,0.00,4x4Attitude,paused,5.35%,2021-12-15
Promotion Extension,123,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-14
Sitelink,139,2,2740000,0.00,4x4Attitude,paused,1.44%,2021-12-14
Sitelink,1235,2,1080000,0.00,4x4Attitude,paused,0.16%,2021-12-25
Sitelink,1254,2,1000000,0.00,4x4Attitude,paused,0.16%,2021-12-22
Promotion Extension,949,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-24
Sitelink,1260,1,500000,0.00,4x4Attitude,paused,0.08%,2021-12-26
Headline,1536,52,32970000,0.00,4x4Attitude,paused,3.39%,2021-12-24
Phone calls,317,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-19
Phone calls,201,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-31
Sitelink,1222,2,1480000,0.00,4x4Attitude,paused,0.16%,2021-12-23
Promotion Extension,968,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-31
Headline,3577,34,10012216,0.00,4x4Attitude - Jeep Sunshade,paused,0.95%,2021-12-29
Headline,5431,21,16230671,0.00,4x4Attitude - Jeep Sunshade,paused,0.39%,2021-12-21
Headline,537,16,11162319,0.00,4x4Attitude - Jeep Sunshade,paused,2.98%,2021-12-25
Sitelink,1074,2,850000,0.00,4x4Attitude,paused,0.19%,2021-12-27
Headline,1834,32,16500000,0.00,4x4Attitude,paused,1.74%,2021-12-25
Promotion Extension,1071,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-22
Phone calls,170,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-30
Headline,1280,39,43830000,0.00,4x4Attitude,paused,3.05%,2021-12-20
Headline,1910,30,11157483,0.00,4x4Attitude - Jeep Sunshade,paused,1.57%,2021-12-23
Sitelink,1055,1,560000,0.00,4x4Attitude,paused,0.09%,2021-12-24
Headline,1884,64,41060000,0.00,4x4Attitude,paused,3.40%,2021-12-19
Phone calls,22,0,0,0.00,4x4Attitude,paused,0.00%,2021-12-15
Headline,3025,39,10855822,0.00,4x4Attitude - Jeep Sunshade,paused,1.29%,2021-12-26
