"ADGROUP_PERFORMANCE_REPORT (Jul 1, 2022-Jul 6, 2022)"
Ad group ID,Ad group,Impressions,Clicks,Cost,Conversions,CTR,Currency,Day
143450384852,Smart Doorbells,4433,16,20530000,0.00,0.36%,USD,2022-07-04
142072847950,smart speaker,142,0,0,0.00,0.00%,USD,2022-07-05
136135555577,Sensors,325,0,0,0.00,0.00%,USD,2022-07-04
142072847950,smart speaker,1124,12,10585331,0.00,1.07%,USD,2022-07-04
143450384852,Smart Doorbells,210,0,0,0.00,0.00%,USD,2022-07-05
138993260820,smart display,1325,12,11460000,1.93,0.91%,USD,2022-07-04
135106208141,Smart cameras,118,10,9400000,0.00,8.47%,USD,2022-07-05
135106208141,Smart cameras,117,6,3230000,0.00,5.13%,USD,2022-07-06
135106208141,Smart cameras,1053,7,3860000,0.00,0.66%,USD,2022-07-04
138993260820,smart display,171,1,1120000,0.00,0.58%,USD,2022-07-05
142072847950,smart speaker,47,0,0,0.00,0.00%,USD,2022-07-06
138993260820,smart display,154,0,0,0.00,0.00%,USD,2022-07-06
136135555577,Sensors,1,0,0,0.00,0.00%,USD,2022-07-05
136135555577,Sensors,8,0,0,0.00,0.00%,USD,2022-07-06
143450384852,Smart Doorbells,12,1,630000,0.00,8.33%,USD,2022-07-06
Total, --,9240,65,60815331,1.93,0.70%, --, --
